Old IRI,New IRI
obo:FMA_49443,obo:UBERON_0000477
obo:FMA_62955,obo:UBERON_0001062
obo:FMA_45728,obo:UBERON_0009912
obo:FMA_67135,obo:UBERON_0000061
obo:FMA_231424,obo:UBERON_0013702
obo:FMA_82472,obo:UBERON_0000064
obo:FMA_7310,obo:UBERON_0002168
obo:FMA_13361,obo:UBERON_0001113
obo:FMA_7311,obo:UBERON_0000101
obo:FMA_7371,obo:UBERON_0008953
obo:FMA_7335,obo:UBERON_0008949
obo:FMA_7337,obo:UBERON_0002171
obo:FMA_45662,obo:UBERON_0001558
obo:FMA_7195,obo:UBERON_0002048
obo:FMA_67165,obo:UBERON_0000465
obo:FMA_7383,obo:UBERON_0008955
obo:FMA_67498,obo:UBERON_0000062
obo:FMA_7149,obo:UBERON_0000467
obo:FMA_67509,obo:UBERON_0011216r
obo:FMA_7158,obo:UBERON_0001004
obo:FMA_7309,obo:UBERON_0002167
obo:FMA_25054,obo:UBERON_0009569
obo:FMA_259209,obo:UBERON_0000915
obo:FMA_7181,obo:UBERON_0002100
obo:FMA_25055,obo:UBERON_0013236
obo:FMA_7370,obo:UBERON_0008952
obo:FMA_7334,obo:UBERON_0008948
obo:FMA_7333,obo:UBERON_0002170
obo:FMA_55268,obo:UBERON_0034944
